step,score_a,score_b,p_a_beats_b,status
1,True,True,0.5,inconclusive
2,True,False,0.5,inconclusive
3,True,False,0.5,inconclusive
4,True,True,0.5,inconclusive
5,True,True,0.5,inconclusive
6,True,False,0.5,inconclusive
7,True,True,0.5,inconclusive
8,True,True,0.5,inconclusive
9,True,False,0.5,inconclusive
10,True,False,0.5,inconclusive
11,True,False,0.5,inconclusive
12,True,True,0.5,inconclusive
13,True,True,0.5,inconclusive
14,True,True,0.5,inconclusive
15,True,False,0.5,inconclusive
16,True,False,0.5,inconclusive
17,True,True,0.5,inconclusive
18,True,True,0.5,inconclusive
19,True,False,0.5,inconclusive
20,True,True,0.5,inconclusive
21,True,True,0.5,inconclusive
22,True,True,0.5,inconclusive
23,True,True,0.5,inconclusive
24,True,True,0.5,inconclusive
25,True,False,0.5,inconclusive
26,True,True,0.5,inconclusive
27,True,False,0.5,inconclusive
28,True,True,0.5,inconclusive
29,True,False,0.5,inconclusive
30,True,False,0.9999974043891028,inconclusive
31,True,False,0.9999990281091662,inconclusive
32,True,False,0.9999996393697174,winner_a
